001  00001 |Loss: 0.371 | Acc: 100.000% 
001  00001 |Loss: 1.096 | Acc: 25.000% 
001  00001 |Loss: 0.896 | Acc: 0.000% 
001  00001 |Loss: 1.653 | Acc: 0.000% 
001  00002 |Loss: 0.845 | Acc: 50.000% 
001  00003 |Loss: 0.564 | Acc: 66.667% 
001  00004 |Loss: 0.423 | Acc: 75.000% 
001  00005 |Loss: 0.338 | Acc: 80.000% 
001  00006 |Loss: 0.282 | Acc: 83.333% 
001  00007 |Loss: 0.242 | Acc: 85.714% 
001  00008 |Loss: 0.211 | Acc: 87.500% 
001  00009 |Loss: 0.188 | Acc: 88.889% 
001  00010 |Loss: 0.169 | Acc: 90.000% 
001  00011 |Loss: 0.154 | Acc: 90.909% 
001  00012 |Loss: 0.141 | Acc: 91.667% 
001  00013 |Loss: 0.130 | Acc: 92.308% 
001  00014 |Loss: 1.588 | Acc: 85.714% 
001  00015 |Loss: 1.482 | Acc: 86.667% 
001  00016 |Loss: 1.390 | Acc: 87.500% 
001  00017 |Loss: 2.195 | Acc: 82.353% 
001  00018 |Loss: 2.073 | Acc: 83.333% 
001  00019 |Loss: 1.964 | Acc: 84.211% 
001  00020 |Loss: 2.212 | Acc: 80.000% 
001  00021 |Loss: 2.109 | Acc: 80.952% 
001  00022 |Loss: 2.033 | Acc: 81.818% 
001  00023 |Loss: 1.958 | Acc: 82.609% 
001  00024 |Loss: 2.018 | Acc: 79.167% 
001  00025 |Loss: 2.029 | Acc: 76.000% 
001  00026 |Loss: 1.962 | Acc: 76.923% 
001  00027 |Loss: 1.890 | Acc: 77.778% 
001  00028 |Loss: 1.963 | Acc: 75.000% 
001  00029 |Loss: 1.896 | Acc: 75.862% 
001  00030 |Loss: 1.833 | Acc: 76.667% 
001  00031 |Loss: 1.776 | Acc: 77.419% 
001  00032 |Loss: 1.722 | Acc: 78.125% 
001  00033 |Loss: 1.670 | Acc: 78.788% 
001  00034 |Loss: 1.622 | Acc: 79.412% 
001  00035 |Loss: 1.576 | Acc: 80.000% 
001  00036 |Loss: 1.544 | Acc: 80.556% 
001  00037 |Loss: 1.502 | Acc: 81.081% 
001  00038 |Loss: 1.466 | Acc: 81.579% 
001  00039 |Loss: 1.433 | Acc: 82.051% 
001  00040 |Loss: 1.397 | Acc: 82.500% 
001  00041 |Loss: 1.534 | Acc: 80.488% 
001  00042 |Loss: 1.497 | Acc: 80.952% 
001  00043 |Loss: 1.463 | Acc: 81.395% 
001  00044 |Loss: 1.431 | Acc: 81.818% 
001  00045 |Loss: 1.460 | Acc: 80.000% 
001  00046 |Loss: 1.441 | Acc: 80.435% 
001  00047 |Loss: 1.430 | Acc: 78.723% 
001  00048 |Loss: 1.421 | Acc: 77.083% 
001  00049 |Loss: 1.405 | Acc: 77.551% 
001  00050 |Loss: 1.381 | Acc: 78.000% 
001  00051 |Loss: 1.357 | Acc: 78.431% 
001  00052 |Loss: 1.338 | Acc: 78.846% 
001  00053 |Loss: 1.313 | Acc: 79.245% 
001  00054 |Loss: 1.291 | Acc: 79.630% 
001  00055 |Loss: 1.267 | Acc: 80.000% 
001  00056 |Loss: 1.245 | Acc: 80.357% 
001  00057 |Loss: 1.223 | Acc: 80.702% 
001  00058 |Loss: 1.202 | Acc: 81.034% 
001  00059 |Loss: 1.181 | Acc: 81.356% 
001  00060 |Loss: 1.162 | Acc: 81.667% 
001  00061 |Loss: 1.143 | Acc: 81.967% 
001  00062 |Loss: 1.124 | Acc: 82.258% 
001  00063 |Loss: 1.106 | Acc: 82.540% 
001  00064 |Loss: 1.089 | Acc: 82.812% 
001  00065 |Loss: 1.072 | Acc: 83.077% 
001  00066 |Loss: 1.056 | Acc: 83.333% 
001  00067 |Loss: 1.040 | Acc: 83.582% 
001  00068 |Loss: 1.025 | Acc: 83.824% 
001  00069 |Loss: 1.010 | Acc: 84.058% 
001  00070 |Loss: 0.996 | Acc: 84.286% 
001  00071 |Loss: 0.982 | Acc: 84.507% 
001  00072 |Loss: 0.968 | Acc: 84.722% 
001  00073 |Loss: 0.955 | Acc: 84.932% 
001  00074 |Loss: 0.942 | Acc: 85.135% 
001  00075 |Loss: 0.929 | Acc: 85.333% 
001  00076 |Loss: 0.917 | Acc: 85.526% 
001  00077 |Loss: 0.905 | Acc: 85.714% 
001  00078 |Loss: 0.894 | Acc: 85.897% 
001  00079 |Loss: 0.882 | Acc: 86.076% 
001  00080 |Loss: 0.871 | Acc: 86.250% 
001  00081 |Loss: 0.860 | Acc: 86.420% 
001  00082 |Loss: 0.850 | Acc: 86.585% 
001  00083 |Loss: 0.840 | Acc: 86.747% 
001  00084 |Loss: 0.830 | Acc: 86.905% 
001  00085 |Loss: 0.820 | Acc: 87.059% 
001  00086 |Loss: 0.810 | Acc: 87.209% 
001  00087 |Loss: 0.801 | Acc: 87.356% 
001  00088 |Loss: 0.792 | Acc: 87.500% 
001  00089 |Loss: 0.783 | Acc: 87.640% 
001  00090 |Loss: 0.915 | Acc: 86.667% 
001  00091 |Loss: 1.009 | Acc: 85.714% 
001  00092 |Loss: 0.998 | Acc: 85.870% 
001  00093 |Loss: 0.987 | Acc: 86.022% 
001  00094 |Loss: 0.977 | Acc: 86.170% 
001  00095 |Loss: 0.973 | Acc: 86.316% 
001  00096 |Loss: 0.970 | Acc: 85.417% 
001  00097 |Loss: 0.963 | Acc: 85.567% 
001  00098 |Loss: 0.955 | Acc: 85.714% 
001  00099 |Loss: 0.960 | Acc: 84.848% 
001  00100 |Loss: 0.959 | Acc: 84.000% 
001  00101 |Loss: 0.954 | Acc: 84.158% 
001  00102 |Loss: 0.949 | Acc: 84.314% 
001  00103 |Loss: 0.940 | Acc: 84.466% 
001  00104 |Loss: 0.931 | Acc: 84.615% 
001  00105 |Loss: 0.973 | Acc: 83.810% 
001  00106 |Loss: 0.964 | Acc: 83.962% 
001  00107 |Loss: 0.955 | Acc: 84.112% 
001  00108 |Loss: 0.946 | Acc: 84.259% 
001  00109 |Loss: 0.937 | Acc: 84.404% 
